Date,Region,SalesPerson,Product,Revenue,Cost,SatisfactionScore
2026-01-05,North,Mike,Standard_Plan,5000,1200,4.5
2026-01-08,South,Sarah,Premium_Plan,12000,3000,5.0
2026-01-12,East,John,Enterprise_Plan,25000,8000,4.2
2026-01-15,West,Lisa,Standard_Plan,4800,900,3.8
2026-01-20,North,Mike,Premium_Plan,11500,2800,4.7
2026-01-22,South,Sarah,Standard_Plan,5200,1100,4.9
2026-02-01,East,John,Premium_Plan,12500,3200,4.1
2026-02-05,West,Lisa,Enterprise_Plan,28000,8500,3.5
2026-02-10,North,Mike,Standard_Plan,5100,1250,4.6
2026-02-12,South,Sarah,Enterprise_Plan,30000,9000,5.0
2026-02-15,East,John,Standard_Plan,4900,1000,4.3
2026-02-18,West,Lisa,Premium_Plan,11800,2900,3.9
2026-03-05,North,Mike,Enterprise_Plan,26000,8200,4.8
2026-03-08,South,Sarah,Premium_Plan,12200,3100,4.9
2026-03-12,East,John,Standard_Plan,5300,1300,4.4
2026-03-15,West,Lisa,Standard_Plan,4700,850,3.7
2026-03-20,North,Mike,Premium_Plan,11600,2850,4.7
2026-03-22,South,Sarah,Standard_Plan,5400,1150,5.0
2026-03-25,East,John,Enterprise_Plan,24000,7800,4.0
2026-03-30,West,Lisa,Premium_Plan,11900,3000,3.6
